data_name,label
dog_barking_0.wav,Bark
dog_barking_1.wav,Bark
dog_barking_10.wav,Bark
dog_barking_101.wav,Bark
dog_barking_102.wav,Bark
dog_barking_103.wav,Bark
dog_barking_104.wav,Bark
dog_barking_105.wav,Bark
dog_barking_106.wav,Bark
dog_barking_11.wav,Bark
dog_barking_110.wav,Bark
dog_barking_111.wav,Bark
dog_barking_112.wav,Bark
dog_barking_12.wav,Bark
dog_barking_13.wav,Bark
dog_barking_14.wav,Bark
dog_barking_15.wav,Bark
dog_barking_16.wav,Bark
dog_barking_2.wav,Bark
dog_barking_22.wav,Bark
dog_barking_23.wav,Bark
dog_barking_24.wav,Bark
dog_barking_26.wav,Bark
dog_barking_27.wav,Bark
dog_barking_28.wav,Bark
dog_barking_3.wav,Bark
dog_barking_4.wav,Bark
dog_barking_5.wav,Bark
dog_barking_6.wav,Bark
dog_barking_7.wav,Bark
dog_barking_8.wav,Bark
dog_barking_86.wav,Bark
dog_barking_87.wav,Bark
dog_barking_88.wav,Bark
dog_barking_89.wav,Bark
dog_barking_9.wav,Bark
dog_barking_90.wav,Bark
dog_barking_91.wav,Bark
dog_barking_92.wav,Bark
dog_barking_93.wav,Bark
dog_barking_94.wav,Bark
dog_barking_95.wav,Bark
dog_barking_96.wav,Bark
dog_barking_97.wav,Bark
dog_barking_98.wav,Bark
dog_barking_99.wav,Bark
