data_name,label
dog_barking_19.wav,Howl
dog_barking_20.wav,Howl
dog_barking_29.wav,Howl
dog_barking_31.wav,Howl
dog_barking_32.wav,Howl
dog_barking_33.wav,Howl
dog_barking_34.wav,Howl
dog_barking_35.wav,Howl
dog_barking_36.wav,Howl
dog_barking_37.wav,Howl
dog_barking_38.wav,Howl
dog_barking_40.wav,Howl
dog_barking_41.wav,Howl
dog_barking_42.wav,Howl
dog_barking_43.wav,Howl
dog_barking_44.wav,Howl
dog_barking_45.wav,Howl
dog_barking_46.wav,Howl
dog_barking_47.wav,Howl
dog_barking_48.wav,Howl
dog_barking_49.wav,Howl
dog_barking_50.wav,Howl
dog_barking_51.wav,Howl
dog_barking_52.wav,Howl
dog_barking_53.wav,Howl
dog_barking_54.wav,Howl
dog_barking_55.wav,Howl
dog_barking_56.wav,Howl
dog_barking_57.wav,Howl
dog_barking_58.wav,Howl
dog_barking_59.wav,Howl
dog_barking_60.wav,Howl
dog_barking_61.wav,Howl
dog_barking_62.wav,Howl
dog_barking_63.wav,Howl
dog_barking_64.wav,Howl
dog_barking_65.wav,Howl
dog_barking_66.wav,Howl
dog_barking_67.wav,Howl
dog_barking_68.wav,Howl
dog_barking_69.wav,Howl
dog_barking_70.wav,Howl
dog_barking_71.wav,Howl
dog_barking_72.wav,Howl
dog_barking_73.wav,Howl
dog_barking_74.wav,Howl
dog_barking_75.wav,Howl
dog_barking_76.wav,Howl
dog_barking_77.wav,Howl
dog_barking_78.wav,Howl
dog_barking_79.wav,Howl
dog_barking_80.wav,Howl
dog_barking_81.wav,Howl
dog_barking_82.wav,Howl
dog_barking_83.wav,Howl
dog_barking_84.wav,Howl
dog_barking_85.wav,Howl
